pickup_longitude,pickup_latitude,count
-73.873,40.774,86448
-73.994,40.751,67806
-73.871,40.774,64242
-73.782,40.645,59949
-73.991,40.75,57252
-73.992,40.75,46966
-73.863,40.769,46686
-73.864,40.77,42053
-73.777,40.645,40274
-73.863,40.77,37109
-73.99,40.757,33931
-73.991,40.756,33030
-73.978,40.752,31288
-73.982,40.768,28936
-73.992,40.749,27777
-73.991,40.751,27340
-73.99,40.756,26590
-73.79,40.647,26280
-73.995,40.75,25307
-73.979,40.762,24085
-73.79,40.644,22114
-74.006,40.74,21958
-74.004,40.742,21628
-73.962,40.779,21388
-73.982,40.769,21196
-73.966,40.762,20423
-73.995,40.74,20411
-73.988,40.738,18104
-73.977,40.752,18086
-73.974,40.763,18017
-73.973,40.764,17911
-73.989,40.737,17401
-73.968,40.763,16998
-73.985,40.748,16916
-74.007,40.744,16787
-73.954,40.779,16732
-73.987,40.761,16206
-73.975,40.752,16065
-73.976,40.752,16044
-74.008,40.741,15950
-73.989,40.758,15833
-73.997,40.737,15756
-73.994,40.746,15714
-73.956,40.779,15672
-73.982,40.763,15652
-74.002,40.74,15613
-73.993,40.743,15364
-73.982,40.773,15265
-73.982,40.775,15260
